case,node_id,label,type,source
HUE,S0,Ta Trach reservoir,routing_storage,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system."
HUE,S1,Binh Dien reservoir,routing_storage,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system."
HUE,S2,Huong Dien reservoir,routing_storage,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system."
HUE,J0,Tuan confluence,connection_or_boundary,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system."
HUE,U,Hue / Kim Long,probe,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system."
HUE,J1,Sinh confluence,connection_or_boundary,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system."
HUE,R,Lagoon receiving aggregate,probe,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system."
HUE,O0,Thuan An inlet boundary,connection_or_boundary,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system."
HUE,O1,Tu Hien inlet boundary,connection_or_boundary,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system."
KADAMAIAN,K,Upper Kadamaian,source,"Kadamaian-Panataran report pp. 2-3, 7, 11: two inlet branches plus residual 108.28 km2."
KADAMAIAN,P,Panataran,source,"Kadamaian-Panataran report pp. 2-3, 7, 11: two inlet branches plus residual 108.28 km2."
KADAMAIAN,L,Lower / intermediate residual,source,"Kadamaian-Panataran report pp. 2-3, 7, 11: two inlet branches plus residual 108.28 km2."
KADAMAIAN,J0,Kadamaian-Panataran junction,connection_or_boundary,"Kadamaian-Panataran report pp. 2-3, 7, 11: two inlet branches plus residual 108.28 km2."
KADAMAIAN,R,Tamu Darat / lower receiving aggregate,probe,"Kadamaian-Panataran report pp. 2-3, 7, 11: two inlet branches plus residual 108.28 km2."
KADAMAIAN,O,Coastal receiving boundary aggregate,connection_or_boundary,"Kadamaian-Panataran report pp. 2-3, 7, 11: two inlet branches plus residual 108.28 km2."
HATYAI,U,Upper U-Tapao / Sadao,source,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake."
HATYAI,W,Khlong Wat,source,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake."
HATYAI,A,Khlong Wa,source,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake."
HATYAI,T,Khlong Tam,source,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake."
HATYAI,H,Khao Kho Hong,source,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake."
HATYAI,L,Urban direct input,source,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake."
HATYAI,Urb,Hat Yai entry / storage ZONE,probe,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake."
HATYAI,D0,U-Tapao lakeward path,connection_or_boundary,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake."
HATYAI,D1,Ror.1 path,connection_or_boundary,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake."
HATYAI,R,Songkhla receiving aggregate,probe,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake."
HATYAI,O,Gulf boundary aggregate,connection_or_boundary,"Hat Yai report pp. 3, 10, 21, 24-26: distinct inputs, two principal lakeward corridors and common receiving lake."
